Time,x,y,vx,vy
0,260,120,0,10
0.1,259.99,121,-0.1,10
0.2,259.97,122,-0.200005,9.999
0.3,259.94,123,-0.300005,9.997
0.4,259.9,123.999,-0.39999,9.994
0.5,259.85,124.998,-0.49995,9.99
0.6,259.79,125.996,-0.599875,9.985
0.7,259.72,126.994,-0.699755,9.97899
0.8,259.64,127.992,-0.799579,9.97199
0.9,259.55,128.988,-0.899339,9.96399
1,259.45,129.983,-0.999024,9.95499
1.1,259.34,130.978,-1.09862,9.94499
1.2,259.221,131.971,-1.19813,9.934
1.3,259.091,132.964,-1.29753,9.922
1.4,258.951,133.954,-1.39681,9.90901
1.5,258.802,134.944,-1.49597,9.89503
1.6,258.642,135.932,-1.59499,9.88005
1.7,258.473,136.918,-1.69387,9.86408
1.8,258.293,137.903,-1.79259,9.84712
1.9,258.104,138.886,-1.89115,9.82917
2,257.905,139.867,-1.98953,9.81023
2.1,257.697,140.846,-2.08773,9.7903
2.2,257.478,141.823,-2.18574,9.76939
2.3,257.25,142.798,-2.28353,9.7475
2.4,257.012,143.77,-2.38112,9.72462
2.5,256.764,144.74,-2.47848,9.70077
2.6,256.506,145.708,-2.5756,9.67593
2.7,256.239,146.673,-2.67248,9.65013
2.8,255.962,147.635,-2.7691,9.62335
2.9,255.675,148.595,-2.86547,9.5956
3,255.379,149.552,-2.96155,9.56688
3.1,255.074,150.505,-3.05736,9.53719
3.2,254.758,151.456,-3.15287,9.50655
3.3,254.433,152.403,-3.24807,9.47494
3.4,254.099,153.348,-3.34297,9.44238
3.5,253.755,154.289,-3.43754,9.40887
3.6,253.402,155.226,-3.53178,9.3744
3.7,253.04,156.16,-3.62568,9.33899
3.8,252.668,157.09,-3.71923,9.30263
3.9,252.286,158.017,-3.81241,9.26533
4,251.896,158.939,-3.90523,9.2271
4.1,251.496,159.858,-3.99766,9.18793
4.2,251.087,160.773,-4.08971,9.14783
4.3,250.669,161.684,-4.18136,9.10681
4.4,250.242,162.59,-4.2726,9.06486
4.5,249.805,163.492,-4.36342,9.022
4.6,249.36,164.39,-4.45381,8.97822
4.7,248.906,165.283,-4.54377,8.93353
4.8,248.442,166.172,-4.63329,8.88794
4.9,247.97,167.056,-4.72234,8.84144
5,247.489,167.936,-4.81094,8.79405
5.1,246.999,168.81,-4.89906,8.74577
